id,outer_fold,inner_fold,y_true,catboost_prediction
00008ff9,1,2,2,0.47226073848598077
000fd460,1,2,0,0.3407654888138637
001f3379,1,3,1,0.6838059249601229
0038ba98,1,2,0,0.6729426462186785
00abe655,1,2,0,0.5466120155747423
00c0cd71,1,2,2,0.4286605256958437
00d56d4b,1,1,0,0.029440039509774585
00e6167c,1,2,0,0.4998354263372615
00f332d1,1,3,1,0.9589556703182396
01182ce3,1,2,2,1.1724446114313416
011e71c3,1,2,0,0.8158715389756643
012cadd8,1,1,0,0.3573719079240615
012e3869,1,1,0,0.03954887236678961
014c303e,1,2,0,0.29646200388712607
015ba5b1,1,3,2,1.0366436329684277
01cae1ef,1,2,0,0.6764759687892079
02073150,1,2,0,0.1819133545105504
02648a1c,1,2,0,0.6301963250888537
026fcbc3,1,1,0,0.7400822457906531
029a19c9,1,3,1,0.9285315852980212
02a01f18,1,3,0,0.2405882326817093
02c4cf7f,1,1,1,0.44060574314063156
02cebf33,1,1,1,1.2110364948456545
02cf7384,1,3,0,0.8353514214995357
02dcf62a,1,2,0,0.43579185494241723
02e56a7c,1,2,0,0.468934549434486
0347462d,1,2,1,1.039468967142781
034f923b,1,2,0,0.9640715981183163
0357a10e,1,1,1,0.36951628226988076
0380e709,1,3,2,0.6620341784760904
0391e587,1,3,2,0.5617297482399632
03a9019b,1,3,1,0.5461820112338039
03f1c1c8,1,3,2,0.8598305899567391
0417c91e,1,1,0,-0.01528782914400384
04370442,1,3,2,0.2560652498879571
045a0a94,1,1,2,1.157151273296547
0471236c,1,3,0,0.09189979868605885
04ad419d,1,2,0,0.42743126638994383
04af8fdd,1,2,0,0.525016530264721
04afb6f9,1,1,2,0.7105862875733061
04b3cc70,1,2,0,0.44449622766165187
04bb1a76,1,3,2,0.7100883417177559
04cb2c30,1,3,1,0.4748589626379899
04d06a9c,1,1,1,0.4649867454156345
04dc7df1,1,3,1,0.4335220050559409
052a1122,1,3,1,0.34038150267512746
053d7d31,1,1,0,0.6140622508027976
05777ce1,1,1,2,1.3223146264783368
058990e9,1,3,1,0.7172365073918356
058d2812,1,3,2,0.9588612785417586
0598f669,1,1,0,0.5575782513291572
059eed01,1,3,0,0.1536408418963206
05bbed1b,1,3,0,0.0931393555170118
05d3d73a,1,3,0,0.25871591327953747
05db1b9b,1,1,0,0.45395844827826004
05e67680,1,2,0,0.609937122840163
0610c066,1,1,0,0.14364101941671503
061f2866,1,2,2,1.1029388274677656
063353cc,1,2,0,0.9452528121259618
063b16fc,1,2,1,0.8863535067102362
06472198,1,1,0,0.11604021828505384
064e8da5,1,2,0,0.08938614920419996
065801e3,1,2,0,0.7185015763280711
066343d4,1,1,0,0.43288581728121966
0668373f,1,2,2,0.44378432007000135
0676ead5,1,3,0,0.4160763075253994
067b9287,1,3,1,0.4167707633852522
067de065,1,2,0,0.15566747243544415
06c8b2fb,1,3,0,0.06844518854139037
06eb8adb,1,2,0,0.15026295772975773
06ec8be3,1,1,1,0.3513886145938029
070386b2,1,3,0,0.5771326693786337
07048067,1,1,1,0.6398535398814564
0720320e,1,1,0,0.5688223551582712
0745c390,1,2,1,0.5568471401757367
077ac7a2,1,2,1,0.272968795858703
07d879cf,1,3,1,0.6882296961278913
08159c5e,1,1,0,0.8308896115042859
082df556,1,2,0,0.8313476789822984
0844aee7,1,3,1,0.17926766957163287
08577722,1,1,0,0.18430462364999883
08660d12,1,3,2,0.9988553529660629
086d6e7f,1,3,0,0.17504724947223588
0884aca8,1,1,0,0.5659319725964529
089a6b19,1,3,0,1.0722636854692456
08fa44ad,1,1,1,0.3083422325964873
09039272,1,1,0,0.41252881327619095
092494ec,1,1,1,1.3805376555360132
0924b815,1,2,1,0.13588825783751474
09331bb8,1,3,2,0.9657924578703896
