id,outer_fold,inner_fold,y_true,catboost_prediction
00008ff9,1,2,2,0.4923914407051326
000fd460,1,2,0,0.3297361593602622
001f3379,1,3,1,0.6674667264582456
0038ba98,1,2,0,0.6918435498638069
00abe655,1,2,0,0.5636225542283816
00c0cd71,1,2,2,0.4587652151459237
00d56d4b,1,1,0,0.040432033888931906
00e6167c,1,2,0,0.5479954379652756
00f332d1,1,3,1,0.9100259119720402
01182ce3,1,2,2,1.2664213253887302
011e71c3,1,2,0,0.835619035007397
012cadd8,1,1,0,0.372003344759416
012e3869,1,1,0,0.11286516434943472
014c303e,1,2,0,0.3024816847331029
015ba5b1,1,3,2,1.0319895295267805
01cae1ef,1,2,0,0.6848197371753457
02073150,1,2,0,0.17994564586840417
02648a1c,1,2,0,0.6246596107389029
026fcbc3,1,1,0,0.7393474387277386
029a19c9,1,3,1,0.9178223011157043
02a01f18,1,3,0,0.23132728133566005
02c4cf7f,1,1,1,0.4541774709210114
02cebf33,1,1,1,1.1032746366811557
02cf7384,1,3,0,0.7924488345723257
02dcf62a,1,2,0,0.3810597674536371
02e56a7c,1,2,0,0.46358911449615553
0347462d,1,2,1,1.0239226412148956
034f923b,1,2,0,1.0131089936395885
0357a10e,1,1,1,0.36215509378376287
0380e709,1,3,2,0.627352136702618
0391e587,1,3,2,0.5649366487620905
03a9019b,1,3,1,0.5451820494804004
03f1c1c8,1,3,2,0.9053616246763556
0417c91e,1,1,0,0.03280129197852388
04370442,1,3,2,0.2652471784788789
045a0a94,1,1,2,1.0970626678677895
0471236c,1,3,0,0.09594783051671046
04ad419d,1,2,0,0.4567550279781814
04af8fdd,1,2,0,0.45065641507607307
04afb6f9,1,1,2,0.7774821000123316
04b3cc70,1,2,0,0.45577047194557896
04bb1a76,1,3,2,0.7058382567799165
04cb2c30,1,3,1,0.4505416513671156
04d06a9c,1,1,1,0.4920269570638088
04dc7df1,1,3,1,0.3981401914537816
052a1122,1,3,1,0.3564231096917029
053d7d31,1,1,0,0.6000505791136561
05777ce1,1,1,2,1.2043848234012562
058990e9,1,3,1,0.7452786690034287
058d2812,1,3,2,0.9603831726884708
0598f669,1,1,0,0.5592973339530323
059eed01,1,3,0,0.12286312706087055
05bbed1b,1,3,0,0.09715688708318199
05d3d73a,1,3,0,0.21732153286736156
05db1b9b,1,1,0,0.4525813167055781
05e67680,1,2,0,0.567711024862197
0610c066,1,1,0,0.16707080295744164
061f2866,1,2,2,1.1475059626634134
063353cc,1,2,0,1.0082361126330561
063b16fc,1,2,1,0.9258741149492116
06472198,1,1,0,0.09669106048957415
064e8da5,1,2,0,0.058494808803329246
065801e3,1,2,0,0.6775911567096179
066343d4,1,1,0,0.3799463863278776
0668373f,1,2,2,0.4469849271860425
0676ead5,1,3,0,0.4124907775145663
067b9287,1,3,1,0.43242074262100405
067de065,1,2,0,0.11691862385018753
06c8b2fb,1,3,0,0.07859238722135731
06eb8adb,1,2,0,0.12999140511404517
06ec8be3,1,1,1,0.35439367678749967
070386b2,1,3,0,0.5821714015185774
07048067,1,1,1,0.7002605309907832
