id,fold,y_true,catboost_prediction,catboost_class
00008ff9,4,2,0.508050285281386,0
000fd460,4,0,0.3641187246129626,0
00105258,1,0,0.570563605539633,0
00115b9f,1,1,0.2885597665060278,0
001f3379,4,1,0.5410435670740757,0
0038ba98,2,0,0.6306707480315504,1
00abe655,4,0,0.5422296404276216,0
00ae59c9,1,1,0.8574379474442663,1
00c0cd71,5,2,0.4432807224035671,0
00d56d4b,2,0,0.05274735050418955,0
00e6167c,3,0,0.5469691017323897,1
00f332d1,4,1,0.9364307748294599,2
00f574e9,1,0,1.089411397558162,2
01085eb3,1,0,1.0330929660587649,2
01182ce3,5,2,1.4285926695942242,2
011e71c3,3,0,0.8286193414788737,1
012cadd8,2,0,0.33593255732260263,0
012e3869,4,0,0.0991452909167036,0
014c303e,5,0,0.359292011987887,0
015ba5b1,2,2,1.268367493018681,2
01cae1ef,3,0,0.6578751940416868,1
02073150,2,0,0.2522608186367028,0
0219f64a,1,2,0.5535148561961648,0
02347f13,1,0,0.8638968400351508,1
026102c4,1,0,0.1663783681439377,0
02648a1c,4,0,0.6132476914762127,1
026fcbc3,2,0,0.7013867194760945,1
029a19c9,5,1,0.8436527968295199,1
02a01f18,2,0,0.1918097990526934,0
02c4cf7f,5,1,0.4177945300019684,0
02cebf33,3,1,1.0744529554090407,2
02cf7384,2,0,0.9138525875147157,2
02dcf62a,5,0,0.36646841931823404,0
02e56a7c,4,0,0.27928978070634636,0
0347462d,5,1,1.1356974142413674,2
034f923b,2,0,1.2357626304643645,2
0357a10e,4,1,0.39562891587206145,0
035c96dd,1,0,0.47335213680753835,0
0380e709,2,2,0.5445375525703573,1
03833cec,1,0,0.1915237821992265,0
0391e587,5,2,0.5104794931934579,0
03a5c2d6,1,0,0.5586257961109119,0
03a9019b,3,1,0.5889061096220478,1
03bf5026,1,0,0.41615142936903793,0
03f1c1c8,2,2,0.8696559855722873,1
0417c91e,5,0,0.08620970668242978,0
04370442,5,2,0.3186278167820283,0
045a0a94,2,2,1.2562003326832412,2
0471236c,5,0,0.11658129560278324,0
0499c3e8,1,1,0.7127824098797311,1
04ad419d,5,0,0.4180553328145705,0
04af8fdd,2,0,0.5139406110931484,0
04afb6f9,4,2,0.6801779219781848,1
04b3cc70,4,0,0.3468683661156594,0
04bb1a76,3,2,0.7622302892166175,1
04cb2c30,2,1,0.4026483435042875,0
04d06a9c,5,1,0.5481228392398357,0
04dc7df1,3,1,0.38012725208819786,0
04f094a8,1,1,0.7146442560083448,1
0506b9cd,1,1,1.3161389908860515,2
051680a0,1,1,0.4726569894452898,0
051f73ae,1,0,0.5279035576216109,0
052a1122,5,1,0.5607697184252834,0
053d7d31,5,0,0.610490678045382,1
055156e2,1,2,1.2618936559314047,2
05777ce1,2,2,1.2931747952186106,2
058990e9,5,1,0.7606494730002445,1
058d2812,5,2,0.8711675184587966,1
0598f669,3,0,0.4535563784129431,0
059e02ab,1,1,0.9005078992197117,1
059eed01,5,0,0.2051556193692327,0
05bbed1b,4,0,0.024032243535569986,0
05bc318e,1,1,0.8794007022664707,1
05d3d73a,3,0,0.2553121652532262,0
05db1b9b,2,0,0.4056642915059533,0
05e67680,4,0,0.572820443178419,0
05e94f88,1,0,0.3868418978008695,0
05f2d1b5,1,0,0.2932858085794866,0
0610c066,5,0,0.11588131431241516,0
061f2866,5,2,1.1764369315200476,2
0632d98a,1,0,0.476014130466111,0
063353cc,5,0,0.9371589593683631,2
063b16fc,2,1,0.9000551615284014,2
06472198,5,0,0.12030572094055775,0
064e8da5,4,0,0.022726753072616623,0
065801e3,2,0,0.6400783810034102,1
066343d4,3,0,0.43949263581032505,0
0668373f,4,2,0.3777204157240487,0
0676ead5,5,0,0.41522487479313536,0
067b9287,3,1,0.4944000379602751,0
067de065,5,0,0.16832240602083287,0
06c7dcff,1,0,0.5058901182409483,0
06c8b2fb,2,0,0.012344794109149682,0
06eb8adb,3,0,0.16978118320961377,0
06ec8be3,2,1,0.34454132113479663,0
070386b2,2,0,0.4865766405082007,0
07048067,3,1,0.7136427677074468,1
0720320e,5,0,0.7050920624733955,1
0745c390,4,1,0.5793948968757138,0
077ac7a2,2,1,0.2772594013737613,0
07d879cf,3,1,0.7815134928101295,1
080698b7,1,0,0.6942784232281224,1
08159c5e,3,0,0.6844976403596492,1
082df556,5,0,0.6811248945340332,1
0844aee7,5,1,0.30101062015496144,0
08577722,5,0,0.17131605488582463,0
08660d12,2,2,0.9644025972720923,2
086d6e7f,2,0,0.17172499320170703,0
0884aca8,4,0,0.5296184089071404,0
089a6b19,3,0,0.9470796334512048,2
08fa44ad,4,1,0.37668375852052965,0
09039272,5,0,0.3390004563764688,0
092494ec,2,1,1.2394307410759415,2
0924b815,4,1,0.13814188499619756,0
092c29b9,1,0,0.1905041429638203,0
09331bb8,5,2,0.9808117924095958,2
096bf063,2,2,0.7023217286069366,1
0983654b,1,0,0.37490182421853113,0
098b5836,1,2,1.2516128557856843,2
098d3c32,3,0,0.4436715338142633,0
099e3614,1,0,0.5321140892886602,0
09b29113,1,0,0.20808349420299416,0
09d80057,3,1,0.29917763493724875,0
09eeaba6,5,0,0.12941929680708375,0
09eeec14,2,2,0.37512763038202523,0
09f44fd2,2,0,0.2317479647813635,0
0a1afc11,2,0,0.22685990491949526,0
0a418b57,1,1,0.7044793331516495,1
0a431608,5,0,1.16278709864212,2
0a4b1425,5,0,0.2128470430847756,0
0a540797,4,0,0.40479307637606166,0
0a5f1214,5,0,0.3996965663137927,0
0a775819,3,2,1.1943662790546488,2
0a822c93,3,1,0.9495454247415889,2
0a9159f8,3,0,0.554319986528633,1
0a995f99,2,0,0.40062834767217304,0
0aa90ce7,4,0,0.4937520455779598,0
0aaf08ec,4,1,0.5860471427030594,1
0ac521c8,4,3,1.0028594273754416,2
0ac5e12f,1,1,0.24600236965185623,0
0acac70c,4,1,1.005092657317223,2
0adf511d,4,1,0.4660597549002174,0
0af81037,5,0,0.5405299783228821,0
0afb2535,2,0,0.4515501212760552,0
0b4014f0,5,0,0.7558182726395712,1
0b4f597e,2,0,0.09236150911840735,0
0b50f3fa,2,1,0.5314764416174287,1
0b518637,1,0,0.15067718416014725,0
0b6b07f6,4,0,0.2113574212663416,0
0b7c6100,5,0,0.4994281568826722,0
0b7d7aec,3,0,0.8561976357121173,1
0b7d9da6,2,0,0.2752635850728241,0
0b9fcc42,1,2,0.37575351676083674,0
0ba53e53,2,2,0.14741256044576623,0
0bd89878,3,0,0.23512688888801775,0
0bdace00,2,0,0.3123288793383848,0
0bfe4fc9,4,1,0.7977456408212742,1
0c0a1576,4,0,0.050262276238113746,0
0c3d248f,5,0,0.21422650541607435,0
0c3d88cb,4,0,0.14175889925109153,0
0c4e2d68,1,0,0.040623818552269375,0
0c4eabac,1,0,0.1633421706677226,0
0c794cf7,2,0,0.05905427398146568,0
0c83af0f,3,2,0.6644607358430146,1
0c8efce0,1,0,0.07386576163250225,0
0c98f822,2,1,1.1472005984226508,2
0ca08054,1,2,0.48849936180710696,0
0cbe4e54,2,0,0.8537271292328564,1
0cccc6bc,5,0,0.2870039947835254,0
0d01bbf2,2,0,0.3762914483635624,0
0d279d77,2,0,0.46894933394240546,0
0d34aee4,1,1,0.9064095067517164,1
0d394928,4,0,0.3160353352630519,0
0d4800c8,4,1,0.9327179719095096,2
0d4fa8f4,1,1,0.1431671564465113,0
0d570d3e,5,2,0.5066274668780377,0
0d74d0ed,1,0,0.8296879645759896,1
0d924604,4,0,0.2568121401185206,0
0ddab8ff,3,0,0.2591440238875625,0
0de01ae7,3,1,0.9460695493127343,2
