field,declared_type
id,identifier
Basic_Demos-Enroll_Season,categorical
Basic_Demos-Age,continuous
Basic_Demos-Sex,categorical
CGAS-Season,categorical
CGAS-CGAS_Score,continuous
Physical-Season,categorical
Physical-BMI,continuous
Physical-Height,continuous
Physical-Weight,continuous
Physical-Waist_Circumference,continuous
Physical-Diastolic_BP,continuous
Physical-HeartRate,continuous
Physical-Systolic_BP,continuous
Fitness_Endurance-Season,categorical
Fitness_Endurance-Max_Stage,continuous
Fitness_Endurance-Time_Mins,continuous
Fitness_Endurance-Time_Sec,continuous
FGC-Season,categorical
FGC-FGC_CU,continuous
FGC-FGC_CU_Zone,categorical
FGC-FGC_GSND,continuous
FGC-FGC_GSND_Zone,categorical
FGC-FGC_GSD,continuous
FGC-FGC_GSD_Zone,categorical
FGC-FGC_PU,continuous
FGC-FGC_PU_Zone,categorical
FGC-FGC_SRL,continuous
FGC-FGC_SRL_Zone,categorical
FGC-FGC_SRR,continuous
FGC-FGC_SRR_Zone,categorical
FGC-FGC_TL,continuous
FGC-FGC_TL_Zone,categorical
BIA-Season,categorical
BIA-BIA_Activity_Level_num,categorical
BIA-BIA_BMC,continuous
BIA-BIA_BMI,continuous
BIA-BIA_BMR,continuous
BIA-BIA_DEE,continuous
BIA-BIA_ECW,continuous
BIA-BIA_FFM,continuous
BIA-BIA_FFMI,continuous
BIA-BIA_FMI,continuous
BIA-BIA_Fat,continuous
BIA-BIA_Frame_num,categorical
BIA-BIA_ICW,continuous
BIA-BIA_LDM,continuous
BIA-BIA_LST,continuous
BIA-BIA_SMM,continuous
BIA-BIA_TBW,continuous
PAQ_A-Season,categorical
PAQ_A-PAQ_A_Total,continuous
PAQ_C-Season,categorical
PAQ_C-PAQ_C_Total,continuous
PCIAT-Season,leakage
PCIAT-PCIAT_01,leakage
PCIAT-PCIAT_02,leakage
PCIAT-PCIAT_03,leakage
PCIAT-PCIAT_04,leakage
PCIAT-PCIAT_05,leakage
PCIAT-PCIAT_06,leakage
PCIAT-PCIAT_07,leakage
PCIAT-PCIAT_08,leakage
PCIAT-PCIAT_09,leakage
PCIAT-PCIAT_10,leakage
PCIAT-PCIAT_11,leakage
PCIAT-PCIAT_12,leakage
PCIAT-PCIAT_13,leakage
PCIAT-PCIAT_14,leakage
PCIAT-PCIAT_15,leakage
PCIAT-PCIAT_16,leakage
PCIAT-PCIAT_17,leakage
PCIAT-PCIAT_18,leakage
PCIAT-PCIAT_19,leakage
PCIAT-PCIAT_20,leakage
PCIAT-PCIAT_Total,leakage
SDS-Season,categorical
SDS-SDS_Total_Raw,continuous
SDS-SDS_Total_T,continuous
PreInt_EduHx-Season,categorical
PreInt_EduHx-computerinternet_hoursday,categorical
