seed,setup,class,precision,recall,f1-score,support,true_positives
42,Dummy majority,0,0.5826023391812866,1.0,0.7362586605080832,1594.0,1594
42,Dummy majority,1,0.0,0.0,0.0,730.0,0
42,Dummy majority,2,0.0,0.0,0.0,378.0,0
42,Dummy majority,3,0.0,0.0,0.0,34.0,0
42,Ridge fixed midpoints,0,0.7827868852459017,0.5991217063989962,0.6787491115849325,1594.0,955
42,Ridge fixed midpoints,1,0.34210526315789475,0.6945205479452055,0.45840867992766726,730.0,507
42,Ridge fixed midpoints,2,0.3333333333333333,0.0291005291005291,0.0535279805352798,378.0,11
42,Ridge fixed midpoints,3,0.0,0.0,0.0,34.0,0
42,Baseline catboost,0,0.7687366167023555,0.6756587202007528,0.7191986644407345,1594.0,1077
42,Baseline catboost,1,0.3641552511415525,0.436986301369863,0.3972602739726027,730.0,319
42,Baseline catboost,2,0.336283185840708,0.4021164021164021,0.36626506024096384,378.0,152
42,Baseline catboost,3,0.42857142857142855,0.08823529411764706,0.14634146341463414,34.0,3
42,Tuned catboost,0,0.7642956764295676,0.6875784190715182,0.7239101717305152,1594.0,1096
42,Tuned catboost,1,0.3563636363636364,0.40273972602739727,0.37813504823151123,730.0,294
42,Tuned catboost,2,0.3259423503325942,0.3888888888888889,0.3546441495778046,378.0,147
42,Tuned catboost,3,0.23076923076923078,0.17647058823529413,0.2,34.0,6
42,Baseline xgboost,0,0.7532736044107512,0.6856963613550816,0.7178981937602628,1594.0,1093
42,Baseline xgboost,1,0.3236111111111111,0.31917808219178084,0.3213793103448276,730.0,233
42,Baseline xgboost,2,0.30996309963099633,0.4444444444444444,0.3652173913043478,378.0,168
42,Baseline xgboost,3,0.043478260869565216,0.029411764705882353,0.03508771929824561,34.0,1
42,Tuned xgboost,0,0.7581967213114754,0.6963613550815558,0.7259646827992152,1594.0,1110
42,Tuned xgboost,1,0.34615384615384615,0.3452054794520548,0.345679012345679,730.0,252
42,Tuned xgboost,2,0.33584905660377357,0.4708994708994709,0.3920704845814978,378.0,178
42,Tuned xgboost,3,0.14285714285714285,0.058823529411764705,0.08333333333333333,34.0,2
42,Baseline extra_trees,0,0.7593507410021172,0.6750313676286073,0.7147127200265693,1594.0,1076
42,Baseline extra_trees,1,0.34149326805385555,0.3821917808219178,0.36069812540400775,730.0,279
42,Baseline extra_trees,2,0.3235908141962422,0.41005291005291006,0.3617269544924154,378.0,155
42,Baseline extra_trees,3,0.13043478260869565,0.08823529411764706,0.10526315789473684,34.0,3
42,Tuned extra_trees,0,0.7595367847411444,0.6994981179422836,0.728282168517309,1594.0,1115
42,Tuned extra_trees,1,0.3568627450980392,0.37397260273972605,0.3652173913043478,730.0,273
42,Tuned extra_trees,2,0.33126293995859213,0.42328042328042326,0.3716608594657375,378.0,160
42,Tuned extra_trees,3,0.1,0.058823529411764705,0.07407407407407407,34.0,2
42,Baseline ridge,0,0.7597222222222222,0.6863237139272271,0.7211601845748187,1594.0,1094
42,Baseline ridge,1,0.3486682808716707,0.39452054794520547,0.37017994858611825,730.0,288
42,Baseline ridge,2,0.30995475113122173,0.36243386243386244,0.33414634146341465,378.0,137
42,Baseline ridge,3,0.21428571428571427,0.17647058823529413,0.1935483870967742,34.0,6
42,Tuned ridge,0,0.7541750167000668,0.7082810539523212,0.7305079262374636,1594.0,1129
42,Tuned ridge,1,0.35336194563662376,0.33835616438356164,0.3456962911126662,730.0,247
42,Tuned ridge,2,0.31225296442687744,0.41798941798941797,0.3574660633484163,378.0,158
42,Tuned ridge,3,0.20588235294117646,0.20588235294117646,0.20588235294117646,34.0,7
42,Baseline equal ensemble,0,0.759581881533101,0.6838143036386449,0.719709475074282,1594.0,1090
42,Baseline equal ensemble,1,0.3504380475594493,0.3835616438356164,0.36625245258338784,730.0,280
42,Baseline equal ensemble,2,0.33747412008281574,0.4312169312169312,0.3786295005807201,378.0,163
42,Baseline equal ensemble,3,0.3157894736842105,0.17647058823529413,0.22641509433962265,34.0,6
42,Tuned equal ensemble,0,0.7683535281539559,0.6762860727728983,0.719386052719386,1594.0,1078
42,Tuned equal ensemble,1,0.3508557457212714,0.39315068493150684,0.3708010335917313,730.0,287
42,Tuned equal ensemble,2,0.3374233128834356,0.4365079365079365,0.3806228373702422,378.0,165
42,Tuned equal ensemble,3,0.2692307692307692,0.20588235294117646,0.23333333333333334,34.0,7
42,Tuned weighted ensemble,0,0.7640056022408963,0.6844416562107905,0.7220383851753805,1594.0,1091
42,Tuned weighted ensemble,1,0.335,0.36712328767123287,0.3503267973856209,730.0,268
42,Tuned weighted ensemble,2,0.3167701863354037,0.40476190476190477,0.3554006968641115,378.0,153
42,Tuned weighted ensemble,3,0.24,0.17647058823529413,0.2033898305084746,34.0,6
42,Inner-selected single model,0,0.7664543524416136,0.679422835633626,0.7203192550714999,1594.0,1083
42,Inner-selected single model,1,0.33676092544987146,0.3589041095890411,0.34748010610079577,730.0,262
42,Inner-selected single model,2,0.31379962192816635,0.43915343915343913,0.36604189636163176,378.0,166
42,Inner-selected single model,3,0.125,0.058823529411764705,0.08,34.0,2
2026,Dummy majority,0,0.5826023391812866,1.0,0.7362586605080832,1594.0,1594
2026,Dummy majority,1,0.0,0.0,0.0,730.0,0
2026,Dummy majority,2,0.0,0.0,0.0,378.0,0
2026,Dummy majority,3,0.0,0.0,0.0,34.0,0
2026,Ridge fixed midpoints,0,0.7926421404682275,0.5947302383939774,0.6795698924731183,1594.0,948
2026,Ridge fixed midpoints,1,0.3464095744680851,0.7136986301369863,0.4664279319606088,730.0,521
2026,Ridge fixed midpoints,2,0.3142857142857143,0.0291005291005291,0.053268765133171914,378.0,11
2026,Ridge fixed midpoints,3,0.0,0.0,0.0,34.0,0
2026,Baseline catboost,0,0.780380673499268,0.6687578419071518,0.7202702702702702,1594.0,1066
2026,Baseline catboost,1,0.366412213740458,0.4602739726027397,0.4080145719489982,730.0,336
2026,Baseline catboost,2,0.3431151241534989,0.4021164021164021,0.3702801461632156,378.0,152
2026,Baseline catboost,3,0.2,0.058823529411764705,0.09090909090909091,34.0,2
2026,Tuned catboost,0,0.787833827893175,0.6662484316185696,0.7219578518014956,1594.0,1062
2026,Tuned catboost,1,0.3693304535637149,0.4684931506849315,0.41304347826086957,730.0,342
2026,Tuned catboost,2,0.33793103448275863,0.3888888888888889,0.36162361623616235,378.0,147
2026,Tuned catboost,3,0.2222222222222222,0.17647058823529413,0.19672131147540983,34.0,6
2026,Baseline xgboost,0,0.7386581469648562,0.7252195734002509,0.7318771763216207,1594.0,1156
2026,Baseline xgboost,1,0.35760517799352753,0.30273972602739724,0.327893175074184,730.0,221
2026,Baseline xgboost,2,0.3055028462998102,0.42592592592592593,0.3558011049723757,378.0,161
2026,Baseline xgboost,3,0.11538461538461539,0.08823529411764706,0.1,34.0,3
2026,Tuned xgboost,0,0.7470588235294118,0.7170639899623589,0.7317541613316261,1594.0,1143
2026,Tuned xgboost,1,0.3515850144092219,0.33424657534246577,0.34269662921348315,730.0,244
2026,Tuned xgboost,2,0.3426124197002141,0.42328042328042326,0.378698224852071,378.0,160
2026,Tuned xgboost,3,0.1111111111111111,0.14705882352941177,0.12658227848101267,34.0,5
2026,Baseline extra_trees,0,0.7536813922356091,0.7063989962358845,0.7292746113989638,1594.0,1126
