setup,mean_oof_qwk,ci_low,ci_high,repeat_std_qwk,repeats
Tuned equal ensemble,0.46692454087419066,0.4339569609229307,0.4972825661697112,0.005878020194777345,2
Tuned weighted ensemble,0.46274498581010326,0.42934182948253324,0.4925670912856963,0.006995758274514374,2
Tuned xgboost,0.46011442851466955,0.42697567655724833,0.4903713204677653,0.0006975754715130567,2
Inner-selected single model,0.45787038320443313,0.4254785623726301,0.48897807381653685,0.008029355869393073,2
Baseline equal ensemble,0.4561814960584193,0.4218960467505438,0.4873127647073795,0.002510248625127387,2
Tuned extra_trees,0.4554627650040132,0.4208197749698835,0.48801419258762196,0.001492164046066835,2
Tuned catboost,0.4552975145955797,0.4225911483606599,0.48524116413217205,0.008118250818624773,2
Baseline catboost,0.45437329122352454,0.4207585420121476,0.4839541150092773,0.00643266198326109,2
Baseline extra_trees,0.450375898585658,0.4173148931691209,0.4825315284968679,0.003632807047016351,2
Tuned ridge,0.43823888529505717,0.4045186186406288,0.4698207680525204,0.0023962044661733906,2
Baseline ridge,0.436224983550139,0.4030584439551883,0.4679130090433752,0.0051529589680086585,2
Baseline xgboost,0.42682050003325206,0.39342194906193817,0.45778875187482204,0.00842869390601425,2
Ridge fixed midpoints,0.3608888390799229,0.33302502776812837,0.38567040412920334,0.0008192725754548325,2
Dummy majority,0.0,0.0,0.0,0.0,2
