seed,fold,setup,validation_qwk
42,1,Dummy majority,0.0
42,1,Ridge fixed midpoints,0.32482693299862164
42,1,Baseline catboost,0.44902898224051824
42,1,Tuned catboost,0.4447489131465593
42,1,Baseline xgboost,0.41749271433584745
42,1,Tuned xgboost,0.46393977440613954
42,1,Baseline extra_trees,0.45197376470150175
42,1,Tuned extra_trees,0.4699196603702609
42,1,Baseline ridge,0.4384302158507425
42,1,Tuned ridge,0.44239969988334504
42,1,Baseline equal ensemble,0.4555280607599276
42,1,Tuned equal ensemble,0.4671995731275589
42,1,Tuned weighted ensemble,0.442241968557758
42,1,Inner-selected single model,0.46393977440613954
42,2,Dummy majority,0.0
42,2,Ridge fixed midpoints,0.4153110346495642
42,2,Baseline catboost,0.4715156593336126
42,2,Tuned catboost,0.49121117837073236
42,2,Baseline xgboost,0.4851321074889634
42,2,Tuned xgboost,0.500945026390156
42,2,Baseline extra_trees,0.47940875818068596
42,2,Tuned extra_trees,0.5006633856481901
42,2,Baseline ridge,0.5207809500314695
42,2,Tuned ridge,0.5038979917521211
42,2,Baseline equal ensemble,0.524995443678506
42,2,Tuned equal ensemble,0.5098607611648086
42,2,Tuned weighted ensemble,0.5166752928863713
42,2,Inner-selected single model,0.49121117837073236
42,3,Dummy majority,0.0
42,3,Ridge fixed midpoints,0.35974448227058875
42,3,Baseline catboost,0.4657899817168034
42,3,Tuned catboost,0.4657899817168034
42,3,Baseline xgboost,0.4657196223246569
42,3,Tuned xgboost,0.4937786029083975
42,3,Baseline extra_trees,0.4434428705425987
42,3,Tuned extra_trees,0.4515374331550802
42,3,Baseline ridge,0.42617285265456106
42,3,Tuned ridge,0.43356709984930963
42,3,Baseline equal ensemble,0.4697572536003959
42,3,Tuned equal ensemble,0.49065793697324056
42,3,Tuned weighted ensemble,0.4620908142445813
42,3,Inner-selected single model,0.4515374331550802
42,4,Dummy majority,0.0
42,4,Ridge fixed midpoints,0.3294067480411491
42,4,Baseline catboost,0.431675042755996
42,4,Tuned catboost,0.41701699330925457
42,4,Baseline xgboost,0.4076192960174181
42,4,Tuned xgboost,0.42354886627988453
42,4,Baseline extra_trees,0.446534796579828
42,4,Tuned extra_trees,0.4450320240321941
42,4,Baseline ridge,0.3983161427376338
42,4,Tuned ridge,0.4112441411108675
42,4,Baseline equal ensemble,0.41309012875536477
42,4,Tuned equal ensemble,0.4254297990267014
42,4,Tuned weighted ensemble,0.41978730965854727
42,4,Inner-selected single model,0.42354886627988453
42,5,Dummy majority,0.0
42,5,Ridge fixed midpoints,0.3718101941426307
42,5,Baseline catboost,0.42257985264618614
42,5,Tuned catboost,0.4208002083758011
42,5,Baseline xgboost,0.394671767197213
42,5,Tuned xgboost,0.4201282416256591
42,5,Baseline extra_trees,0.4153323526610436
42,5,Tuned extra_trees,0.4015096184177993
42,5,Baseline ridge,0.38415710373701883
42,5,Tuned ridge,0.40118107808067094
42,5,Baseline equal ensemble,0.4038901853727269
42,5,Tuned equal ensemble,0.4113480560246565
42,5,Tuned weighted ensemble,0.4412572678666359
42,5,Inner-selected single model,0.4201282416256591
2026,1,Dummy majority,0.0
2026,1,Ridge fixed midpoints,0.3439327736218821
2026,1,Baseline catboost,0.459934336124705
2026,1,Tuned catboost,0.4699156262056394
2026,1,Baseline xgboost,0.41685680770925004
2026,1,Tuned xgboost,0.4804368069076441
2026,1,Baseline extra_trees,0.4946269814938735
2026,1,Tuned extra_trees,0.4692637151653545
2026,1,Baseline ridge,0.4208599664536017
2026,1,Tuned ridge,0.42979465974431375
2026,1,Baseline equal ensemble,0.4605831182072586
2026,1,Tuned equal ensemble,0.48065076607171053
2026,1,Tuned weighted ensemble,0.47373293465422395
2026,1,Inner-selected single model,0.4804368069076441
2026,2,Dummy majority,0.0
2026,2,Ridge fixed midpoints,0.3693826444135656
2026,2,Baseline catboost,0.49585538517211747
2026,2,Tuned catboost,0.49585538517211747
2026,2,Baseline xgboost,0.4498817054373486
2026,2,Tuned xgboost,0.4793284819906155
2026,2,Baseline extra_trees,0.45456159761777937
2026,2,Tuned extra_trees,0.4518555225195463
2026,2,Baseline ridge,0.4504594539152207
2026,2,Tuned ridge,0.4671689013846274
2026,2,Baseline equal ensemble,0.45189135707741357
2026,2,Tuned equal ensemble,0.48871923746410917
2026,2,Tuned weighted ensemble,0.49841897553942827
2026,2,Inner-selected single model,0.4793284819906155
2026,3,Dummy majority,0.0
2026,3,Ridge fixed midpoints,0.35989406502375076
2026,3,Baseline catboost,0.416346911176829
2026,3,Tuned catboost,0.417506975305337
2026,3,Baseline xgboost,0.4238913525498892
2026,3,Tuned xgboost,0.4420568755185029
2026,3,Baseline extra_trees,0.4377204126493798
2026,3,Tuned extra_trees,0.43896227659522924
2026,3,Baseline ridge,0.4375862040140769
2026,3,Tuned ridge,0.40704056096533614
2026,3,Baseline equal ensemble,0.44682094124694915
2026,3,Tuned equal ensemble,0.43079156518213346
2026,3,Tuned weighted ensemble,0.42053985808608585
2026,3,Inner-selected single model,0.43896227659522924
2026,4,Dummy majority,0.0
2026,4,Ridge fixed midpoints,0.3700167308665032
2026,4,Baseline catboost,0.4620238507000316
2026,4,Tuned catboost,0.46373123613804623
2026,4,Baseline xgboost,0.38278140490532364
2026,4,Tuned xgboost,0.43227044004651505
2026,4,Baseline extra_trees,0.424869739947195
